,placetitle,types,address,image
20,국밥연가,국밥,광주 북구 용주로30번길 7 국밥연가,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230225_158%2F1677336199553UVRGJ_JPEG%2FScreenshot_20230225_234230_Instagram.jpg
21,맛골,한식,광주 북구 용주로30번길 27,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=f184_184&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200324_92%2F1585031882813kcG8F_JPEG%2F8Xv16fY7AFaij--m_Ddbor6z.jpg
22,걸작떡볶이치킨 광주 전남대점,분식,광주 북구 설죽로214번길 100 1층,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230328_151%2F167997327724011duG_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25BA%25ED%25B7%25CE%25B1%25D7%25BE%25C6%25C0%25CC%25C4%25DC_161x161.jpg
23,엄니손맛,한식,광주 북구 설죽로202번길 72,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211031_231%2F16356772828964MgOJ_JPEG%2Fgcf7ZViqliTq8CtlhVykMHN0.jpeg.jpg
24,도스마스 전남대점,"멕시코,남미음식",광주 북구 설죽로214번길 94,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA0MTNfMjY2%2FMDAxNjgxMzk1Nzg4MDk1.zBIJSBTVFgjE3F1R9OTefWIy58qE5xFEhFhaMM31NsMg.zFfO4i5p2GqD94U9EYup9E-unHw0oDHDcWbH-yULvPUg.JPEG.yein7940%2F20230413%25A3%25DF113927.jpg
25,생돈까스,돈가스,광주 북구 설죽로214번길 100,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=f180_180&amp;src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MDRfMjYy%2FMDAxNjgzMTI2ODkzNDMx.bcWOjj0NdxxpANiJ0qe7MkOgPyrY1Gfn7H9jC_T7K3kg.V0onOsJkYPndZ728GnJ80eMX4OIavSAhAAmNSo7tAiIg.JPEG%2F20230501_191857.jpg
26,카츠앤맘전대점,돈가스,광주 북구 설죽로214번길 93,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_95%2F1548777664027THjDR_JPEG%2FtKpfYEs8Dcvw2b8IIH32dNXd.jpg
27,알촌 전남대점,퓨전음식,광주 북구 설죽로214번길 122,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200522_277%2F1590127337990iktev_JPEG%2Fau4DD3tuOowYoPM7sMtjnza5.jpg
28,찐한사골국밥,국밥,광주 북구 설죽로214번길 71 1층,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191213_242%2F1576214884443fXFhX_JPEG%2F7Jp1eptd-Bw61hcF9YoM4xKK.jpg
29,봉천동진순자김밥 용봉점,한식,광주 북구 반룡로42번길 26 1층,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201102_125%2F1604261523692Q9NOd_JPEG%2Fsra1Q6K-qI5wLrEppbFu-e90.jpg
30,마라미녀 마라탕 전대점,중식당,광주 북구 설죽로214번길 86,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230429_111%2F1682753834939SelEW_JPEG%2F1BD73FE0-592B-4255-8A49-B16D10FE7F8E.jpeg
31,천지연삼겹살,돼지고기구이,광주 북구 설죽로214번길 90,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fimage.nmv.naver.net%2Fblog_2023_04_13_220%2F85343b74-d9ee-11ed-813d-d4f5ef5a9532_03.jpg
32,봉구스밥버거 전남대상대점,분식,광주 북구 설죽로214번길 98,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_152%2F1548777434548WG8Ed_JPEG%2F4GrXFP-i1zoKunZPnhcSrVk5.jpg
33,돈부리가게,일식당,광주 북구 설죽로214번길 122 1층,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200214_299%2F1581662031909PDl0V_JPEG%2FJSuG-BdxyTJwhQXvB0N9p4Gk.jpg
34,가마솥옛날국밥,국밥,광주 북구 설죽로214번길 119,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180508_186%2F1525776247608KWb6b_JPEG%2F7qmZawuGnKDxKsifKef3BxS5.jpg
35,마루용봉점,일식당,광주 북구 설죽로214번길 98,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_117%2F1548777420005l9NGh_JPEG%2FrgTKe8-SyDjlK45jQV3J92RV.jpg
36,마미쿡 전대점,햄버거,광주 북구 설죽로214번길 80,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200228_189%2F15828674961115pWck_JPEG%2Fx-cfvoW-wv1pdO_3H5Hs3kt3.jpg
37,그 여자의 밥상,일식당,광주 북구 설죽로214번길 123 그여자의밥상,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=f180_180&amp;src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDRfODQg%2FMDAxNjc1NTEyNzQ1MzMx.ZsvCGVTGN67T-_1qbu86A1Nl9eE6X1On0Eoz4A-KHCMg.7n1GYQzHx4jR6ZYj4rfjl7EZV5Hyq_Gxj1m9IIqrG1Mg.JPEG%2FCD738E2A-DBA5-413F-89CC-71AEB70402D2.jpeg
38,행컵 전남대점,"도시락,컵밥",광주 북구 설죽로214번길 118,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230310_163%2F1678404475361yNDIF_JPEG%2FJPEG_20230310_082746_7116662478915378328.jpg
39,Mr.홍,종합분식,광주 북구 설죽로214번길 74 1층,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_118%2F15487778398937DldK_JPEG%2FTAQoS7Cs27wvb5kNFUvTT311.jpg
40,어우러기,한식,광주 북구 설죽로214번길 69,https%3A%2F%2Fldb-phinf.pstatic.net%2F20211031_231%2F16356772828964MgOJ_JPEG%2Fgcf7ZViqliTq8CtlhVykMHN0.jpeg.jpg
41,통큰쭈꾸미,쭈꾸미요리,광주 북구 설죽로214번길 93,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_119%2F1548777545788UuEBi_JPEG%2FWjP7IoR1ABs_ToYRfM8xd3yB.jpg
42,전대분식,종합분식,광주 북구 설죽로214번길 109,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA1MDJfNjQg%2FMDAxNjUxNTAxMDgxNTEx.7JFhuMhhXwleQ2JztNtAzPpjoa3_cDUen18fm20SLUMg.vsrKY4Bpogr7EtWGPXwCrPCuTysl1sZeKpFyB4MZK2sg.JPEG.tion2114%2FKakaoTalk_20220502_231252878_%25282%2529.jpg
43,미리내김밥,김밥,광주 북구 설죽로214번길 121,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=f180_180&amp;src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjEwMDhfMzEg%2FMDAxNjY1MjA3MTM0NTcy.w-2HkJC353pCsZRY_7lni4RkO-SvZ4RjkLSSFsohkp4g.o-vV0t4d8sorKkTJupgmuwhDKCddHiyTlKh1fCXvJb0g.JPEG%2FF29F1485-B7DA-413D-A658-6A8A438B961C.jpeg
44,맛쓰리,한식,광주 북구 설죽로214번길 112,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA5MjlfNDYg%2FMDAxNjY0NDM5NDcyNjUy.P9tpGDjmpzzvKZOtKRrIOQOFmsSQbDJhCG1xk991sLUg.9qMBgMihZ-QNaV5aXmK0W0dlAwVDAYsHbytxgfy33qAg.JPEG.rriveee%2FKakaoTalk_20220928_162443679.jpg
